Index; Text; Cause; Effect; Offset_Sentence2; Offset_Sentence3; Cause_Start; Cause_End; Effect_Start; Effect_End; Sentence
0206.00037; Cap rates are in the range of five to six per cent, depending on whether you're buying a large portfolio or just one community at a time, according to Fleischer.; you're buying a large portfolio or just one community at a time, according to Fleischer.; Cap rates are in the range of five to six per cent; ; ;73.0;161.0;0.0;50.0; <e2>Cap rates are in the range of five to six per cent</e2>, depending on whether <e1>you're buying a large portfolio or just one community at a time, according to Fleischer.</e1>
0588.00003; In other words, if the same prices from last September were still in effect, then the $1,095,481 that the play made during the recent week would be about 55 percent of its potential revenue, and not the reported 101 percent of its potential revenue.; In other words, if the same prices from last September were still in effect; the $1,095,481 that the play made during the recent week would be about 55 percent of its potential revenue, and not the reported 101 percent of its potential revenue.; ; ;0.0;75.0;82.0;249.0; <e1>In other words, if the same prices from last September were still in effect</e1>, then <e2>the $1,095,481 that the play made during the recent week would be about 55 percent of its potential revenue, and not the reported 101 percent of its potential revenue.</e2>
0475.00010.1; The exchange rate of the dalasi remains broadly stable supported by market confidence, and increased inflows from private remittances, higher receipts from tourism, and official inflows from development partners. Government fiscal operations for the first six months of 2019 indicated that total revenue and grants stood at 9.8 percent of GDP compared to 8.6 percent of GDP in the same period last year. Total expenditure and net lending declined from 11.5 percent of GDP a year ago to 10 percent of GDP in the first part of 2019.; The exchange rate of the dalasi remains broadly stable supported by market confidence, and increased inflows from private remittances, higher receipts from tourism, and official inflows from development partners.; Government fiscal operations for the first six months of 2019 indicated that total revenue and grants stood at 9.8 percent of GDP compared to 8.6 percent of GDP in the same period last year.; 212; 403;0.0;212.0;213.0;403.0; <e1>The exchange rate of the dalasi remains broadly stable supported by market confidence, and increased inflows from private remittances, higher receipts from tourism, and official inflows from development partners.</e1> <e2>Government fiscal operations for the first six months of 2019 indicated that total revenue and grants stood at 9.8 percent of GDP compared to 8.6 percent of GDP in the same period last year.</e2> Total expenditure and net lending declined from 11.5 percent of GDP a year ago to 10 percent of GDP in the first part of 2019.
0477.00044; In 2020, we expect AutoZone will continue its buying streak as in Q4, AutoZone invested another $692 million into new purchases at an average price of $1,091 per share. This helped drive EPS to $22.59, smashing estimates by $0.80.; In 2020, we expect AutoZone will continue its buying streak as in Q4, AutoZone invested another $692 million into new purchases at an average price of $1,091 per share.; This helped drive EPS to $22.59, smashing estimates by $0.80.; 168; ;0.0;168.0;169.0;230.0; <e1>In 2020, we expect AutoZone will continue its buying streak as in Q4, AutoZone invested another $692 million into new purchases at an average price of $1,091 per share.</e1> <e2>This helped drive EPS to $22.59, smashing estimates by $0.80.</e2>
0178.00004; Shares of AGND traded down $0.10 during trading on Tuesday, reaching $40.75. 547 shares of the company traded hands, compared to its average volume of 5,063. WisdomTree Negative Duration U.S. Aggregate Bond Fund has a twelve month low of $40.23 and a twelve month high of $44.47.; Shares of AGND traded down $0.10 during trading on Tuesday; reaching $40.75.; ; ;0.0;58.0;60.0;76.0; <e1>Shares of AGND traded down $0.10 during trading on Tuesday</e1>, <e2>reaching $40.75.</e2> 547 shares of the company traded hands, compared to its average volume of 5,063. WisdomTree Negative Duration U.S. Aggregate Bond Fund has a twelve month low of $40.23 and a twelve month high of $44.47.
0289.00009; In order to meet the budgetary target of 17.3 per cent, the growth in direct tax collection will have to be 27 per cent in the remaining months of this fiscal, Mitra said.; In order to meet the budgetary target of 17.3 per cent; the growth in direct tax collection will have to be 27 per cent in the remaining months of this fiscal, Mitra said.; ; ;0.0;54.0;56.0;171.0; <e1>In order to meet the budgetary target of 17.3 per cent</e1>, <e2>the growth in direct tax collection will have to be 27 per cent in the remaining months of this fiscal, Mitra said.</e2>
0067.00004;LON:GLE traded down GBX 10 ($0.13) during mid-day trading on Monday, reaching GBX 840 ($10.98). 48,366 shares of the stock were exchanged, compared to its average volume of 96,029.;LON:GLE traded down GBX 10 ($0.13) during mid-day trading on Monday;reaching GBX 840 ($10.98).;;;0.0;67.0;69.0;95.0;<e1>LON:GLE traded down GBX 10 ($0.13) during mid-day trading on Monday</e1>, <e2>reaching GBX 840 ($10.98).</e2> 48,366 shares of the stock were exchanged, compared to its average volume of 96,029.
0080.00036;Neuberger Berman Group LLC grew its holdings in Sunrun by 5.4% during the 1st quarter. Neuberger Berman Group LLC now owns 3,912,073 shares of the energy company's stock worth $55,003,000 after acquiring an additional 200,636 shares during the period.;Neuberger Berman Group LLC grew its holdings in Sunrun by 5.4% during the 1st quarter.;Neuberger Berman Group LLC now owns 3,912,073 shares of the energy company's stock worth $55,003,000 after acquiring an additional 200,636 shares during the period.;86.0;;0.0;86.0;87.0;251.0;<e1>Neuberger Berman Group LLC grew its holdings in Sunrun by 5.4% during the 1st quarter.</e1> <e2>Neuberger Berman Group LLC now owns 3,912,073 shares of the energy company's stock worth $55,003,000 after acquiring an additional 200,636 shares during the period.</e2>
0353.00022.1; Let's say Shirley reduced her assets of $165,000 through a gift of $10,000 and pre-paying her funeral expenses for $15,000. Her DAC would reduce from $55 a day to $43 a day (a saving of just over $4,300 a year). Her equivalent lump sum would reduce by almost $88,000!; Let's say Shirley reduced her assets of $165,000 through a gift of $10,000 and pre-paying her funeral expenses for $15,000.; Her DAC would reduce from $55 a day to $43 a day (a saving of just over $4,300 a year).; 123; 211;0.0;123.0;124.0;211.0; <e1>Let's say Shirley reduced her assets of $165,000 through a gift of $10,000 and pre-paying her funeral expenses for $15,000.</e1> <e2>Her DAC would reduce from $55 a day to $43 a day (a saving of just over $4,300 a year).</e2> Her equivalent lump sum would reduce by almost $88,000!
0093.00001; The Board is also popularising techniques like low frequency tapping (including once-a -week tapping) and controlled upward tapping to further improve production and bringing down the cost. The Board anticipates an annual production of 7.5 lakh tonne natural rubber this fiscal.; The Board is also popularising techniques like low frequency tapping (including once-a -week tapping) and controlled upward tapping to further improve production and bringing down the cost.; The Board anticipates an annual production of 7.5 lakh tonne natural rubber this fiscal.; 189; ;0.0;189.0;190.0;278.0; <e1>The Board is also popularising techniques like low frequency tapping (including once-a -week tapping) and controlled upward tapping to further improve production and bringing down the cost.</e1> <e2>The Board anticipates an annual production of 7.5 lakh tonne natural rubber this fiscal.</e2>
0052.00001; British American Tobacco  British American Tobacco issued with £900m Dutch tax bill Maker of Rothmans and Camel brands accused of avoiding tax on money channelled via Netherlands  Simon Goodley  Lucky Strike cigarettes at the factory.; Maker of Rothmans and Camel brands accused of avoiding tax on money channelled via Netherlands  Simon Goodley  Lucky Strike cigarettes at the factory.; British American Tobacco  British American Tobacco issued with £900m Dutch tax bill ; ; ;84.0;234.0;0.0;84.0; <e2>British American Tobacco  British American Tobacco issued with £900m Dutch tax bill </e2><e1>Maker of Rothmans and Camel brands accused of avoiding tax on money channelled via Netherlands  Simon Goodley  Lucky Strike cigarettes at the factory.</e1>
0125.00015;Annualised losses are currently running to approximately £15m, and the company may need a capital injection of at least £30m, insider said in July.;Annualised losses are currently running to approximately £15m;the company may need a capital injection of at least £30m, insider said in July.;;;0.0;61.0;67.0;147.0;<e1>Annualised losses are currently running to approximately £15m</e1>, and <e2>the company may need a capital injection of at least £30m, insider said in July.</e2>
0126.00016; An inflation rate of 3%, which is close to historical norms, would mean that your expenses will double in less than 25 years - well within a typical retirement period.; An inflation rate of 3%, which is close to historical norms,; your expenses will double in less than 25 years - well within a typical retirement period.; ; ;0.0;60.0;77.0;167.0; <e1>An inflation rate of 3%, which is close to historical norms,</e1> would mean that <e2>your expenses will double in less than 25 years - well within a typical retirement period.</e2>
0175.00010;In February 2018, Ikea announced its plans to invest up to Rs 4,000 crore (US$ 612 million) in the state of Maharashtra to set up multi-format stores and experience centers.;set up multi-format stores and experience centers.;In February 2018, Ikea announced its plans to invest up to Rs 4,000 crore (US$ 612 million) in the state of Maharashtra;;;123.0;173.0;0.0;119.0;<e2>In February 2018, Ikea announced its plans to invest up to Rs 4,000 crore (US$ 612 million) in the state of Maharashtra</e2> to <e1>set up multi-format stores and experience centers.</e1>
0082.00008;Finally, Buckingham Capital Management Inc. grew its position in Schwab US Dividend Equity ETF by 4.3% during the 1st quarter. Buckingham Capital Management Inc. now owns 6,049 shares of the company's stock valued at $316,000 after purchasing an additional 249 shares during the last quarter.;Finally, Buckingham Capital Management Inc. grew its position in Schwab US Dividend Equity ETF by 4.3% during the 1st quarter.;Buckingham Capital Management Inc. now owns 6,049 shares of the company's stock valued at $316,000 after purchasing an additional 249 shares during the last quarter.;126.0;;0.0;126.0;127.0;292.0;<e1>Finally, Buckingham Capital Management Inc. grew its position in Schwab US Dividend Equity ETF by 4.3% during the 1st quarter.</e1> <e2>Buckingham Capital Management Inc. now owns 6,049 shares of the company's stock valued at $316,000 after purchasing an additional 249 shares during the last quarter.</e2>
0359.00012; The company had revenue of $463.50 million for the quarter, compared to the consensus estimate of $448.19 million. Yamana Gold had a negative net margin of 7.49% and a positive return on equity of 2.32%. Yamana Gold's revenue was up 6.4% compared to the same quarter last year.; The company had revenue of $463.50 million for the quarter, compared to the consensus estimate of $448.19 million.; Yamana Gold's revenue was up 6.4% compared to the same quarter last year.; 114; 203;0.0;114.0;204.0;277.0; <e1>The company had revenue of $463.50 million for the quarter, compared to the consensus estimate of $448.19 million.</e1> Yamana Gold had a negative net margin of 7.49% and a positive return on equity of 2.32%. <e2>Yamana Gold's revenue was up 6.4% compared to the same quarter last year.</e2>
0348.00032; Global demand for food will increase by 50% by 2050 while yields may decline by up to 30% in the absence of ambitious climate action.; the absence of ambitious climate action.; Global demand for food will increase by 50% by 2050 while yields may decline by up to 30%; ; ;93.0;133.0;0.0;89.0; <e2>Global demand for food will increase by 50% by 2050 while yields may decline by up to 30%</e2> in <e1>the absence of ambitious climate action.</e1>
0386.00028; Finally, Cubist Systematic Strategies LLC increased its holdings in Intrexon by 254.8% during the 2nd quarter. Cubist Systematic Strategies LLC now owns 98,473 shares of the biotechnology company's stock worth $754,000 after purchasing an additional 70,722 shares in the last quarter.; Finally, Cubist Systematic Strategies LLC increased its holdings in Intrexon by 254.8% during the 2nd quarter.; Cubist Systematic Strategies LLC now owns 98,473 shares of the biotechnology company's stock worth $754,000 after purchasing an additional 70,722 shares in the last quarter.; 110; ;0.0;110.0;111.0;284.0; <e1>Finally, Cubist Systematic Strategies LLC increased its holdings in Intrexon by 254.8% during the 2nd quarter.</e1> <e2>Cubist Systematic Strategies LLC now owns 98,473 shares of the biotechnology company's stock worth $754,000 after purchasing an additional 70,722 shares in the last quarter.</e2>
0044.00008;Petrus Trust Company Lta bought 2,595 shares as the company's stock declined 8.26% . The institutional investor held 138,541 shares of the major pharmaceuticals company at the end of 2019Q2, valued at $19.30 million, up from 135,946 at the end of the previous reported quarter.;Petrus Trust Company Lta bought 2,595 shares as the company's stock declined 8.26% .;The institutional investor held 138,541 shares of the major pharmaceuticals company at the end of 2019Q2, valued at $19.30 million, up from 135,946 at the end of the previous reported quarter.;84.0;;0.0;84.0;85.0;277.0;<e1>Petrus Trust Company Lta bought 2,595 shares as the company's stock declined 8.26% .</e1> <e2>The institutional investor held 138,541 shares of the major pharmaceuticals company at the end of 2019Q2, valued at $19.30 million, up from 135,946 at the end of the previous reported quarter.</e2>
0250.00003; The alliance, led by the Consumer Action Law Centre, recently descended on Canberra for a national day of action, calling on the federal parliament to enact laws to combat the business practices of payday lenders and consumer lessors. The proposedlegislation would ensure that no more than 10% of a consumer's income would be spent on loan repayments, including a cap on the total amount of payments to be made under a consumer lease.; The alliance, led by the Consumer Action Law Centre, recently descended on Canberra for a national day of action, calling on the federal parliament to enact laws to combat the business practices of payday lenders and consumer lessors.; The proposedlegislation would ensure that no more than 10% of a consumer's income would be spent on loan repayments, including a cap on the total amount of payments to be made under a consumer lease.; 234; ;0.0;234.0;235.0;434.0; <e1>The alliance, led by the Consumer Action Law Centre, recently descended on Canberra for a national day of action, calling on the federal parliament to enact laws to combat the business practices of payday lenders and consumer lessors.</e1> <e2>The proposedlegislation would ensure that no more than 10% of a consumer's income would be spent on loan repayments, including a cap on the total amount of payments to be made under a consumer lease.</e2>
0098.00009; The company also needs to raise $US3 billion in a public offering in order to unlock a $US6 billion bank financing package.; unlock a $US6 billion bank financing package.; The company also needs to raise $US3 billion in a public offering; ; ;78.0;123.0;0.0;65.0; <e2>The company also needs to raise $US3 billion in a public offering</e2> in order to <e1>unlock a $US6 billion bank financing package.</e1>
0038.00001.2; Announces Quarterly Dividend of $0.06 (NASDAQ:MRVL) . (NASDAQ:MRVL) announced a quarterly dividend on Friday, September 20th, RTT News reports. Shareholders of record on Thursday, October 10th will be given a dividend of 0.06 per share by the semiconductor company on Wednesday, October 30th. This represents a $0.24 dividend on an annualized basis and a yield of 0.94%.; Announces Quarterly Dividend of $0.06 (NASDAQ:MRVL) . (NASDAQ:MRVL) announced a quarterly dividend on Friday, September 20th, RTT News reports.; This represents a $0.24 dividend on an annualized basis and a yield of 0.94%.; 143; 292;0.0;143.0;293.0;370.0; <e1>Announces Quarterly Dividend of $0.06 (NASDAQ:MRVL) . (NASDAQ:MRVL) announced a quarterly dividend on Friday, September 20th, RTT News reports.</e1> Shareholders of record on Thursday, October 10th will be given a dividend of 0.06 per share by the semiconductor company on Wednesday, October 30th. <e2>This represents a $0.24 dividend on an annualized basis and a yield of 0.94%.</e2>
0020.00008;Advertisement  Advertisement  If the attacks lead to sustained U.S. oil prices in the mid-US$60-a-barrel range, it could cause U.S. output to grow by about 2 million barrels per day (bpd) next year, from about 1 million bpd this year, Johnson said.;Advertisement  Advertisement  If the attacks lead to sustained U.S. oil prices in the mid-US$60-a-barrel range;U.S. output to grow by about 2 million barrels per day (bpd) next year, from about 1 million bpd this year, Johnson said.;;;0.0;110.0;127.0;248.0;<e1>Advertisement  Advertisement  If the attacks lead to sustained U.S. oil prices in the mid-US$60-a-barrel range</e1>, it could cause <e2>U.S. output to grow by about 2 million barrels per day (bpd) next year, from about 1 million bpd this year, Johnson said.</e2>
0411.00001.1; Vanguard Mid-Cap Growth ETF (NYSEARCA:VOT) Plans  -  Dividend of $0.30 Tweet  Vanguard Mid-Cap Growth ETF (NYSEARCA:VOT) declared a  -  dividend on Monday, September 16th, Wall Street Journal reports. Shareholders of record on Tuesday, September 17th will be paid a dividend of 0.30 per share on Thursday, September 19th. This represents a yield of 0.7%.; Vanguard Mid-Cap Growth ETF (NYSEARCA:VOT) Plans  -  Dividend of $0.30 Tweet  Vanguard Mid-Cap Growth ETF (NYSEARCA:VOT) declared a  -  dividend on Monday, September 16th, Wall Street Journal reports.; Shareholders of record on Tuesday, September 17th will be paid a dividend of 0.30 per share on Thursday, September 19th.; 200; 321;0.0;200.0;201.0;321.0; <e1>Vanguard Mid-Cap Growth ETF (NYSEARCA:VOT) Plans  -  Dividend of $0.30 Tweet  Vanguard Mid-Cap Growth ETF (NYSEARCA:VOT) declared a  -  dividend on Monday, September 16th, Wall Street Journal reports.</e1> <e2>Shareholders of record on Tuesday, September 17th will be paid a dividend of 0.30 per share on Thursday, September 19th.</e2> This represents a yield of 0.7%.
0487.00001; The owner of Japanese cryptocurrency exchange, Coincheck, has announced it will award Bitcoin to its shareholders in a new shake-up. Monex Shareholders To Get 500 Yen In Bitcoin  In a statement on September 24, online broker Monex Group said it would give 500 yen in BTC to anyone who owns more than 100 shares and has a Coincheck account.; The owner of Japanese cryptocurrency exchange, Coincheck, has announced it will award Bitcoin to its shareholders in a new shake-up.; Monex Shareholders To Get 500 Yen In Bitcoin  In a statement on September 24, online broker Monex Group said it would give 500 yen in BTC to anyone who owns more than 100 shares and has a Coincheck account.; 132; ;0.0;132.0;133.0;339.0; <e1>The owner of Japanese cryptocurrency exchange, Coincheck, has announced it will award Bitcoin to its shareholders in a new shake-up.</e1> <e2>Monex Shareholders To Get 500 Yen In Bitcoin  In a statement on September 24, online broker Monex Group said it would give 500 yen in BTC to anyone who owns more than 100 shares and has a Coincheck account.</e2>
0080.00044.1;Finally, Zacks Investment Research upgraded shares of Sunrun from a strong sell rating to a hold rating in a research report on Saturday, August 10th. One research analyst has rated the stock with a hold rating, seven have issued a buy rating and one has issued a strong buy rating to the company. Sunrun presently has a consensus rating of Buy and an average price target of $21.36.;Finally, Zacks Investment Research upgraded shares of Sunrun from a strong sell rating to a hold rating in a research report on Saturday, August 10th.;Sunrun presently has a consensus rating of Buy and an average price target of $21.36.;150.0;297.0;0.0;150.0;298.0;383.0;<e1>Finally, Zacks Investment Research upgraded shares of Sunrun from a strong sell rating to a hold rating in a research report on Saturday, August 10th.</e1> One research analyst has rated the stock with a hold rating, seven have issued a buy rating and one has issued a strong buy rating to the company. <e2>Sunrun presently has a consensus rating of Buy and an average price target of $21.36.</e2>
0018.00003; Analysts expect Park Hotels & Resorts to earn $2.89 per share next year, which means the company should continue to be able to cover its $1.80 annual dividend with an expected future payout ratio of 62.3%.; Analysts expect Park Hotels & Resorts to earn $2.89 per share next year; the company should continue to be able to cover its $1.80 annual dividend with an expected future payout ratio of 62.3%.; ; ;0.0;71.0;85.0;205.0; <e1>Analysts expect Park Hotels & Resorts to earn $2.89 per share next year</e1>, which means <e2>the company should continue to be able to cover its $1.80 annual dividend with an expected future payout ratio of 62.3%.</e2>
0046.00015; USD/JPY is down 0.5% to just below 108, a combination of USD weakness and a hint of yen strength after the BoJ kept policy unchanged.; a combination of USD weakness and a hint of yen strength after the BoJ kept policy unchanged.; USD/JPY is down 0.5% to just below 108; ; ;40.0;133.0;0.0;38.0; <e2>USD/JPY is down 0.5% to just below 108</e2>, <e1>a combination of USD weakness and a hint of yen strength after the BoJ kept policy unchanged.</e1>
0248.00026; Again, the bank took a third place in deposits as it was able to garner N3.51trillion from customers in the review period.; it was able to garner N3.51trillion from customers in the review period.; Again, the bank took a third place in deposits; ; ;50.0;122.0;0.0;46.0; <e2>Again, the bank took a third place in deposits</e2> as <e1>it was able to garner N3.51trillion from customers in the review period.</e1>
0114.00007.2; Sandler O'Neill lowered shares of Customers Bancorp from a buy rating to a hold rating in a research report on Thursday, July 25th. One research analyst has rated the stock with a sell rating, two have issued a hold rating and three have assigned a buy rating to the stock. The stock currently has a consensus rating of Hold and a consensus target price of $27.95.; One research analyst has rated the stock with a sell rating, two have issued a hold rating and three have assigned a buy rating to the stock.; The stock currently has a consensus rating of Hold and a consensus target price of $27.95.; 131; 273;132.0;273.0;274.0;364.0; Sandler O'Neill lowered shares of Customers Bancorp from a buy rating to a hold rating in a research report on Thursday, July 25th. <e1>One research analyst has rated the stock with a sell rating, two have issued a hold rating and three have assigned a buy rating to the stock.</e1> <e2>The stock currently has a consensus rating of Hold and a consensus target price of $27.95.</e2>
0341.00005; Upon completion of 6 properties currently under development, the Companys portfolio will increase to 58,077 apartment homes in 171 properties.; Upon completion of 6 properties currently under development; the Companys portfolio will increase to 58,077 apartment homes in 171 properties.; ; ;0.0;59.0;61.0;142.0; <e1>Upon completion of 6 properties currently under development</e1>, <e2>the Companys portfolio will increase to 58,077 apartment homes in 171 properties.</e2>
0134.00031; Data by YCharts  The way I think about this is that if I could theoretically buy Starbucks' business for $100, I would earn $3.13 on that investment the first year.; Data by YCharts  The way I think about this is that if I could theoretically buy Starbucks' business for $100; I would earn $3.13 on that investment the first year.; ; ;0.0;109.0;111.0;164.0; <e1>Data by YCharts  The way I think about this is that if I could theoretically buy Starbucks' business for $100</e1>, <e2>I would earn $3.13 on that investment the first year.</e2>
0553.00017; But under the Ontario Liberal Caucus plan half the profit in the first year or two (if a sale happened) would be taxable at [50% x your marginal rate].; But under the Ontario Liberal Caucus plan; half the profit in the first year or two (if a sale happened) would be taxable at [50% x your marginal rate].; ; ;0.0;41.0;42.0;151.0; <e1>But under the Ontario Liberal Caucus plan</e1> <e2>half the profit in the first year or two (if a sale happened) would be taxable at [50% x your marginal rate].</e2>
0270.00007;You need to put in £500 and month and have two active direct debits to qualify.;qualify.;You need to put in £500 and month and have two active direct debits;;;71.0;79.0;0.0;67.0;<e2>You need to put in £500 and month and have two active direct debits</e2> to <e1>qualify.</e1>
0084.00020;In related news, Director Meryl D. Hartzband bought 500 shares of the business's stock in a transaction on Friday, August 2nd. The shares were bought at an average cost of $242.31 per share, for a total transaction of $121,155.00. Following the completion of the purchase, the director now owns 9,570 shares of the company's stock, valued at approximately $2,318,906.70.;In related news, Director Meryl D. Hartzband bought 500 shares of the business's stock in a transaction on Friday, August 2nd.;Following the completion of the purchase, the director now owns 9,570 shares of the company's stock, valued at approximately $2,318,906.70.;126.0;230.0;0.0;126.0;231.0;370.0;<e1>In related news, Director Meryl D. Hartzband bought 500 shares of the business's stock in a transaction on Friday, August 2nd.</e1> The shares were bought at an average cost of $242.31 per share, for a total transaction of $121,155.00. <e2>Following the completion of the purchase, the director now owns 9,570 shares of the company's stock, valued at approximately $2,318,906.70.</e2>
0412.00003; Meanwhile, they approved appointing KPMG Al Fozan to audit the company's quarterly and annual financials of the fiscal year 2019/2020 for a fee of SAR 3.25 million and approved paying SAR 2.1 million as board remuneration for the fiscal year ended March 31, 2019.; board remuneration for the fiscal year ended March 31, 2019.; Meanwhile, they approved appointing KPMG Al Fozan to audit the company's quarterly and annual financials of the fiscal year 2019/2020 for a fee of SAR 3.25 million and approved paying SAR 2.1 million; ; ;203.0;263.0;0.0;199.0; <e2>Meanwhile, they approved appointing KPMG Al Fozan to audit the company's quarterly and annual financials of the fiscal year 2019/2020 for a fee of SAR 3.25 million and approved paying SAR 2.1 million</e2> as <e1>board remuneration for the fiscal year ended March 31, 2019.</e1>
0348.00006; Rising seas and greater storm surges could force hundreds of millions of people from their homes in coastal cities, with a total cost to coastal urban areas of more than $1 trillion each year by 2050.; Rising seas and greater storm surges; could force hundreds of millions of people from their homes in coastal cities, with a total cost to coastal urban areas of more than $1 trillion each year by 2050.; ; ;0.0;36.0;37.0;200.0; <e1>Rising seas and greater storm surges</e1> <e2>could force hundreds of millions of people from their homes in coastal cities, with a total cost to coastal urban areas of more than $1 trillion each year by 2050.</e2>
0072.00033;Given that minimum reserves are currently close to €130 billion, the exempt tier would amount to some €800 billion, implying that the non-exempt amount of excess reserves still remunerated at the negative deposit facility rate would be approximately €1 trillion, down from €1.8 trillion.;Given that minimum reserves are currently close to €130 billion;the exempt tier would amount to some €800 billion, implying that the non-exempt amount of excess reserves still remunerated at the negative deposit facility rate would be approximately €1 trillion, down from €1.8 trillion.;;;0.0;63.0;65.0;287.0;<e1>Given that minimum reserves are currently close to €130 billion</e1>, <e2>the exempt tier would amount to some €800 billion, implying that the non-exempt amount of excess reserves still remunerated at the negative deposit facility rate would be approximately €1 trillion, down from €1.8 trillion.</e2>
0257.00054; Marketing expenses decreased to $2 million mainly because we were able to reduce customer acquisition retargeting and branding its activities across all channels, and also lowered headcount.; we were able to reduce customer acquisition retargeting and branding its activities across all channels, and also lowered headcount.; Marketing expenses decreased to $2 million; ; ;58.0;190.0;0.0;42.0; <e2>Marketing expenses decreased to $2 million</e2> mainly because <e1>we were able to reduce customer acquisition retargeting and branding its activities across all channels, and also lowered headcount.</e1>
0140.00017; Cowen Inc. raised its holdings in Precision BioSciences by 7.5% in the second quarter. Cowen Inc. now owns 1,083,926 shares of the company's stock valued at $14,362,000 after acquiring an additional 75,361 shares in the last quarter.; Cowen Inc. raised its holdings in Precision BioSciences by 7.5% in the second quarter.; Cowen Inc. now owns 1,083,926 shares of the company's stock valued at $14,362,000 after acquiring an additional 75,361 shares in the last quarter.; 86; ;0.0;86.0;87.0;233.0; <e1>Cowen Inc. raised its holdings in Precision BioSciences by 7.5% in the second quarter.</e1> <e2>Cowen Inc. now owns 1,083,926 shares of the company's stock valued at $14,362,000 after acquiring an additional 75,361 shares in the last quarter.</e2>
0014.00001;Osisko shares tumble after it proposes all-shares Barkerville Gold takeover CanadianInvestor  Share this article  MONTREAL  -  Shares in Osisko Gold Royalties Ltd. fell by almost 10 per cent Monday after it announced a deal to buy the shares of Barkerville Gold Mines Ltd. it doesn't already own.;it announced a deal to buy the shares of Barkerville Gold Mines Ltd. it doesn't already own.;Shares in Osisko Gold Royalties Ltd. fell by almost 10 per cent Monday;;;204.0;296.0;127.0;197.0;Osisko shares tumble after it proposes all-shares Barkerville Gold takeover CanadianInvestor  Share this article  MONTREAL  -  <e2>Shares in Osisko Gold Royalties Ltd. fell by almost 10 per cent Monday</e2> after <e1>it announced a deal to buy the shares of Barkerville Gold Mines Ltd. it doesn't already own.</e1>
0042.00133;Six Nebraska communities will each receive $500,000 to help with projects related to housing: Nebraska City, Fremont, Peru, Lynch, Wood River and Pierce County.;help with projects related to housing: Nebraska City, Fremont, Peru, Lynch, Wood River and Pierce County.;Six Nebraska communities will each receive $500,000;;;55.0;160.0;0.0;51.0;<e2>Six Nebraska communities will each receive $500,000</e2> to <e1>help with projects related to housing: Nebraska City, Fremont, Peru, Lynch, Wood River and Pierce County.</e1>
0197.00005;Herman Miller Inc., up 64 cents to $45.11  The furniture maker's fiscal first quarter profit and revenue beat Wall Street forecasts.;The furniture maker's fiscal first quarter profit and revenue beat Wall Street forecasts.;Herman Miller Inc., up 64 cents to $45.11;;;43.0;132.0;0.0;41.0;<e2>Herman Miller Inc., up 64 cents to $45.11</e2>  <e1>The furniture maker's fiscal first quarter profit and revenue beat Wall Street forecasts.</e1>
0103.00011; DeVos, who took office in February 2017, is urging states to establish policies to provide more education freedom and at the federal level to establish an Education Freedom Fund, a proposal for a $5 billion annual tax credit fund that individuals or corporations can contribute to as a 501(c)(3) in states that participate.; DeVos, who took office in February 2017, is urging states to establish policies to provide more education freedom and at the federal level to establish an Education Freedom Fund; a proposal for a $5 billion annual tax credit fund that individuals or corporations can contribute to as a 501(c)(3) in states that participate.; ; ;0.0;177.0;179.0;323.0; <e1>DeVos, who took office in February 2017, is urging states to establish policies to provide more education freedom and at the federal level to establish an Education Freedom Fund</e1>, <e2>a proposal for a $5 billion annual tax credit fund that individuals or corporations can contribute to as a 501(c)(3) in states that participate.</e2>
0052.00001; JOHANNESBURG, Sept 17 (Reuters) - South African miner Exxaro Resources Ltd said on Tuesday it acquired the remaining 50% stake in its wind farm joint venture for 1.55 billion rand ($105.56 million) as it looks to expand its energy business.; it looks to expand its energy business.; South African miner Exxaro Resources Ltd said on Tuesday it acquired the remaining 50% stake in its wind farm joint venture for 1.55 billion rand ($105.56 million); ; ;201.0;240.0;34.0;197.0; JOHANNESBURG, Sept 17 (Reuters) - <e2>South African miner Exxaro Resources Ltd said on Tuesday it acquired the remaining 50% stake in its wind farm joint venture for 1.55 billion rand ($105.56 million)</e2> as <e1>it looks to expand its energy business.</e1>
0174.00022;There were several unique items in the quarter, including the following pre-tax restructuring and impairment charges of $45 million primarily related to our engineered cabs business and our decision to write-down the 10% investment we have in our steel joint venture in China.;our engineered cabs business and our decision to write-down the 10% investment we have in our steel joint venture in China.;There were several unique items in the quarter, including the following pre-tax restructuring and impairment charges of $45 million;;;153.0;276.0;0.0;131.0;<e2>There were several unique items in the quarter, including the following pre-tax restructuring and impairment charges of $45 million</e2> primarily related to <e1>our engineered cabs business and our decision to write-down the 10% investment we have in our steel joint venture in China.</e1>
0086.00015; Accumulated profits at the firm last year increased from €2.74 million to €6.19 million.; Accumulated profits at the firm last year increased from €2.74 million; €6.19 million.; ; ;0.0;70.0;74.0;88.0; <e1>Accumulated profits at the firm last year increased from €2.74 million</e1> to <e2>€6.19 million.</e2>
0370.00056; Gold also saw its 15 count increase to +11 from 19 to 24 June of this year as the price of gold was at or below $1419.; the price of gold was at or below $1419.; Gold also saw its 15 count increase to +11 from 19 to 24 June of this year; ; ;78.0;118.0;0.0;74.0; <e2>Gold also saw its 15 count increase to +11 from 19 to 24 June of this year</e2> as <e1>the price of gold was at or below $1419.</e1>
